id,title,description,link,image_link,additional_image_link,price,availability,brand,condition,product_type,google_product_category
"scrunchie-pretty-in-pink","Pretty in Pink Scrunchie","Airy pink brushstrokes on textured cream — pretty in pink, exactly as it should be.","https://www.dragoninkandthread.com/scrunchie-pretty-in-pink.html","https://www.dragoninkandthread.com/assets/scrunchie-pretty-in-pink.jpg","","6.00 USD","in stock","Dragon Ink and Thread","new","Scrunchies","Apparel & Accessories > Clothing Accessories > Hair Accessories"
"scrunchie-wildflower","Wildflower Scrunchie","A meadow's worth of tiny wildflowers on cream — our softest little garden.","https://www.dragoninkandthread.com/scrunchie-wildflower.html","https://www.dragoninkandthread.com/assets/scrunchie-wildflower.jpg","","6.00 USD","in stock","Dragon Ink and Thread","new","Scrunchies","Apparel & Accessories > Clothing Accessories > Hair Accessories"
"scrunchie-bundle","Scrunchie Bundle (3)","Three everyday scrunchies in classic red, cream, and navy — the perfect starter trio, and a little kinder on the price.","https://www.dragoninkandthread.com/scrunchie-bundle.html","https://www.dragoninkandthread.com/assets/scrunchie-bundle.jpg","","15.00 USD","in stock","Dragon Ink and Thread","new","Scrunchies","Apparel & Accessories > Clothing Accessories > Hair Accessories"
"scrunchie-byo-bundle","Build Your Own Bundle","Can't pick just one print? Choose any three of our scrunchie prints and we'll bundle them together — same sweet trio price, your choice of prints, one shipping.","https://www.dragoninkandthread.com/scrunchie-byo-bundle.html","https://www.dragoninkandthread.com/assets/scrunchie-bundle.jpg","","15.00 USD","in stock","Dragon Ink and Thread","new","Scrunchies","Apparel & Accessories > Clothing Accessories > Hair Accessories"
"bow-suriel-set","Tea with the Suriel — the Set of Five","All five. One bow each in Something Blue, Sidra Vines, Porcelain Roses, Lace of Velaris and Suriel's Bouquet — five of the blues from the Tea with the Suriel collection, for $55 instead of $60. They were cut from the same five bolts on the same afternoon, and once one of them goes the set isn't a set any more.","https://www.dragoninkandthread.com/bow-suriel-set.html","https://www.dragoninkandthread.com/assets/bow-suriel-set.jpg","","55.00 USD","out of stock","Dragon Ink and Thread","new","Bows","Apparel & Accessories > Clothing Accessories > Hair Accessories"
"bow-something-blue","Something Blue Bow","The palest of the five — soft powder blue under a fine lace-like tracery of flowers, so light it reads almost silver from across a room. The one to reach for when you want the bow noticed but not announced.","https://www.dragoninkandthread.com/bow-something-blue.html","https://www.dragoninkandthread.com/assets/bow-something-blue.jpg","https://www.dragoninkandthread.com/assets/bow-something-blue-2.jpg","12.00 USD","in stock","Dragon Ink and Thread","new","Bows","Apparel & Accessories > Clothing Accessories > Hair Accessories"
"bow-sidra-vines","Sidra Vines Bow","Fine white vines trailing endlessly over cornflower blue, small roses tucked in where they fall — a pattern you keep turning to follow, like something painted round the side of a teacup.","https://www.dragoninkandthread.com/bow-sidra-vines.html","https://www.dragoninkandthread.com/assets/bow-sidra-vines.jpg","https://www.dragoninkandthread.com/assets/bow-sidra-vines-2.jpg","12.00 USD","in stock","Dragon Ink and Thread","new","Bows","Apparel & Accessories > Clothing Accessories > Hair Accessories"
"bow-porcelain-roses","Porcelain Roses Bow","Small blue roses trailing over cream, the way they'd look pressed into an old book and forgotten there. The quietest bow of the five, and the one that goes with everything.","https://www.dragoninkandthread.com/bow-porcelain-roses.html","https://www.dragoninkandthread.com/assets/bow-porcelain-roses.jpg","https://www.dragoninkandthread.com/assets/bow-porcelain-roses-2.jpg","12.00 USD","in stock","Dragon Ink and Thread","new","Bows","Apparel & Accessories > Clothing Accessories > Hair Accessories"
"bow-lace-of-velaris","Lace of Velaris Bow","White lace medallions and scalloped bands blooming right across mid-blue — the densest pattern of the five, and the one that looks most like a plate you'd never quite dare eat off.","https://www.dragoninkandthread.com/bow-lace-of-velaris.html","https://www.dragoninkandthread.com/assets/bow-lace-of-velaris.jpg","https://www.dragoninkandthread.com/assets/bow-lace-of-velaris-2.jpg","12.00 USD","in stock","Dragon Ink and Thread","new","Bows","Apparel & Accessories > Clothing Accessories > Hair Accessories"
"bow-suriels-bouquet","Suriel's Bouquet Bow","Full cobalt bouquets thrown across cream — the boldest of the five, and the one that reads from across a room. If the others are a whisper, this is the sentence said out loud.","https://www.dragoninkandthread.com/bow-suriels-bouquet.html","https://www.dragoninkandthread.com/assets/bow-suriels-bouquet.jpg","https://www.dragoninkandthread.com/assets/bow-suriels-bouquet-2.jpg","12.00 USD","in stock","Dragon Ink and Thread","new","Bows","Apparel & Accessories > Clothing Accessories > Hair Accessories"
"bow-cauldron-forged","Cauldron Forged Bow","Midnight navy shot through with a fine bronze web — like something cooled in the dark and lifted out still glinting. The moodiest bow in the shop, and the one that finally goes with black.","https://www.dragoninkandthread.com/bow-cauldron-forged.html","https://www.dragoninkandthread.com/assets/bow-cauldron-forged.jpg","","12.00 USD","in stock","Dragon Ink and Thread","new","Bows","Apparel & Accessories > Clothing Accessories > Hair Accessories"
"bow-toffee-plaid","Toffee Plaid Bow","Deep toffee plaid, hand-tied into a sailor bow — the colour of a cup left to steep too long and an armchair by the window. Finished edges, and it suits every coat you own.","https://www.dragoninkandthread.com/bow-toffee-plaid.html","https://www.dragoninkandthread.com/assets/bow-toffee-plaid.jpg","","12.00 USD","in stock","Dragon Ink and Thread","new","Bows","Apparel & Accessories > Clothing Accessories > Hair Accessories"
"bow-roasted-roses","Roasted Roses Bow","Cream roses and little cups of coffee scattered across deep olive — a slow morning, tied into a bow. Hand-tied with finished edges.","https://www.dragoninkandthread.com/bow-roasted-roses.html","https://www.dragoninkandthread.com/assets/bow-roasted-roses.jpg","","12.00 USD","in stock","Dragon Ink and Thread","new","Bows","Apparel & Accessories > Clothing Accessories > Hair Accessories"
"bow-daily-grind-ivory","Daily Grind Bow in Ivory","Old sign-painter lettering on soft ivory — moka pots, grinders, and a hundred small reasons to take a coffee break. For the ones who read best with a cup in hand.","https://www.dragoninkandthread.com/bow-daily-grind-ivory.html","https://www.dragoninkandthread.com/assets/bow-daily-grind-ivory.jpg","","12.00 USD","in stock","Dragon Ink and Thread","new","Bows","Apparel & Accessories > Clothing Accessories > Hair Accessories"
"bow-blushing-linen","Blushing Linen Bow","The softest blush, woven with the slubby texture of well-loved linen — a quiet bow that doesn't compete with anything you put it near. Hand-tied with finished edges.","https://www.dragoninkandthread.com/bow-blushing-linen.html","https://www.dragoninkandthread.com/assets/bow-blushing-linen.jpg","","12.00 USD","in stock","Dragon Ink and Thread","new","Bows","Apparel & Accessories > Clothing Accessories > Hair Accessories"
"bow-gingham","Gingham Bow","Soft taupe gingham, hand-tied into a sweet sailor bow — a cozy little check that pairs with everything from sundresses to storybooks.","https://www.dragoninkandthread.com/bow-gingham.html","https://www.dragoninkandthread.com/assets/bow-gingham.jpg","","12.00 USD","in stock","Dragon Ink and Thread","new","Bows","Apparel & Accessories > Clothing Accessories > Hair Accessories"
"bow-sage-gingham","Sage Gingham Bow","Sage-green gingham strewn with the tiniest pink roses — a garden picnic of a bow, hand-tied with finished edges.","https://www.dragoninkandthread.com/bow-sage-gingham.html","https://www.dragoninkandthread.com/assets/bow-sage-gingham.jpg","","12.00 USD","in stock","Dragon Ink and Thread","new","Bows","Apparel & Accessories > Clothing Accessories > Hair Accessories"
"bandana-quilted-court","The Quilted Court Bandana","Two dozen little squares — blush roses, pale plaids, dotted cream, a wash of sage — pieced one at a time into something that looks like a quilt made small. It's the only patchwork piece in the shop, and for its size it takes the longest of anything I make: every seam has to meet the three around it. Reversible: turn it round and it's Blushing Linen, a soft dusty pink, quiet enough for the days the patchwork would be too much. The top is an elasticated channel, so it stretches over the collar they already wear — nothing to tie, nothing to work loose halfway round the block.","https://www.dragoninkandthread.com/bandana-quilted-court.html","https://www.dragoninkandthread.com/assets/bandana-quilted-court.jpg","https://www.dragoninkandthread.com/assets/bandana-quilted-court-2.jpg,https://www.dragoninkandthread.com/assets/bandana-quilted-court-3.jpg,https://www.dragoninkandthread.com/assets/bandana-quilted-court-4.jpg,https://www.dragoninkandthread.com/assets/bandana-quilted-court-5.jpg","22.00 USD","in stock","Dragon Ink and Thread","new","Pet Bandanas","Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Apparel"
"bandana-storykeeper","The Storykeeper Bandana","The Storykeeper print, cut down for the smallest reader in the house — shelves of antique books and potion bottles on deep black. It slips over the collar they already wear, so there's nothing to tie and nothing to lose. Matches the tote of the same name. This one is a Large; small and medium can be made to order, so just ask.","https://www.dragoninkandthread.com/bandana-storykeeper.html","https://www.dragoninkandthread.com/assets/bandana-storykeeper.jpg","https://www.dragoninkandthread.com/assets/bandana-storykeeper-2.jpg,https://www.dragoninkandthread.com/assets/bandana-storykeeper-3.jpg","18.00 USD","in stock","Dragon Ink and Thread","new","Pet Bandanas","Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Apparel"
"bandana-brew-and-bloom","Brew and Bloom Bandana","Lattes, iced coffees and pale flowers scattered over cream — the whole slow morning, for the dog who lies under the table while you have your first cup and waits for you to be a person again. Reversible: turn it round and it's Blushing Linen, a soft dusty pink, for the days that call for something quieter. Two bandanas, one collar.","https://www.dragoninkandthread.com/bandana-brew-and-bloom.html","https://www.dragoninkandthread.com/assets/bandana-brew-and-bloom.jpg","https://www.dragoninkandthread.com/assets/bandana-brew-and-bloom-2.jpg,https://www.dragoninkandthread.com/assets/bandana-brew-and-bloom-3.jpg","18.00 USD","in stock","Dragon Ink and Thread","new","Pet Bandanas","Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Apparel"
"sleeve-reading-nook","Reading Nook Sleeve","Somewhere soft for whatever you're in the middle of. Quilted and padded all the way round, so the rest of your bag stops pressing against the cover, and the top is left open on purpose — no button, no snap, nothing to undo when you've got one hand free and five minutes to read. The Daily Grind on the outside under a band of Cinnamon Marble, and a Toffee Windowpane lining that nobody but you will see.","https://www.dragoninkandthread.com/sleeve-reading-nook.html","https://www.dragoninkandthread.com/assets/sleeve-reading-nook.jpg","https://www.dragoninkandthread.com/assets/sleeve-reading-nook-2.jpg","28.00 USD","in stock","Dragon Ink and Thread","new","Book Sleeves","Office Supplies > Book Accessories > Book Covers"
"home-suriel-tea-cover","The Suriel Tea Cover","Blue-and-white prints from the Tea with the Suriel shelf, hand-pieced into one small cover — paisley, lace, and a scatter of roses across the front. The prettiest table in the house, if you want it to be. Piecing is the slowest thing I do at this size, and it's the only way to get this many prints into one piece.","https://www.dragoninkandthread.com/home-suriel-tea-cover.html","https://www.dragoninkandthread.com/assets/home-suriel-tea-cover.jpg","https://www.dragoninkandthread.com/assets/home-suriel-tea-cover-2.jpg","35.00 USD","in stock","Dragon Ink and Thread","new","Home","Home & Garden > Linens & Bedding > Kitchen Linens"
